GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,ScalableMeasurementRecorderSource.new AbstractRunnable() {...},0,11,0,0,0,3,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,ScalableMeasurementRecorderSource.new ThreadLocal() {...},5,28,0,0,0,6,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,ScalableMeasurementRecorder,92,261,5,17,16,67,11,16,6,10
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,DirectStoreAccumulator,69,75,0,0,10,16,5,5,5,5
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,CountingAccumulator,50,179,4,6,6,34,5,13,1,12
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,QuantizedAccumulator,150,796,22,52,25,177,24,33,4,16
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,MinMaxAvgAccumulator,78,233,5,9,10,39,7,13,3,10
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,DirectRecorderSource,12,24,0,0,1,5,1,3,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,DirectStoreAccumulator.RecordedValue,15,0,0,0,6,0,3,0,3,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,ScalableMeasurementRecorder.Persister,24,48,3,3,2,17,2,4,0,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,DirectStoreMultiAccumulator,113,0,0,0,25,0,8,0,8,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,ScalableMeasurementRecorderSource.Persister,29,96,4,6,3,25,3,5,0,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,ScalableMeasurementRecorder.new AbstractRunnable() {...},4,7,0,0,2,1,1,1,1,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,ScalableMeasurementRecorder.new ThreadLocal() {...},5,31,0,0,0,6,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,Quanta,212,0,26,0,48,0,22,0,9,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,AbstractMeasurementAccumulator,7,29,1,3,3,10,4,3,3,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.impl,NopMeasurementRecorderSource,1,10,0,0,1,3,1,3,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.io.tcp.proxy,ProxyBufferTransferHandler.RoomToReadHook,0,23,0,0,0,8,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.io.tcp.proxy,ProxyClientHandler,50,110,0,2,5,25,1,4,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.io.tcp.proxy,ProxyBufferTransferHandler.ReadInterest,0,16,0,0,0,5,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.io.tcp.proxy,TransferBuffer.Operation,9,29,0,0,0,2,2,2,2,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.io.tcp.proxy,ProxyBufferTransferHandler.WriteInterest,0,16,0,0,0,5,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.io.tcp.proxy,ProxyBufferTransferHandler.DataAvailableToWriteHook,0,23,0,0,0,8,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.io.tcp.proxy,ProxyBufferTransferHandler.ReadFromChannel,0,24,0,0,0,7,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.io.tcp.proxy,ProxyBufferTransferHandler,36,168,3,11,2,37,5,9,2,5
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.io.tcp.proxy,TransferBuffer,157,157,27,21,45,51,21,12,2,7
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.io.tcp.proxy,ProxyBufferTransferHandler.WriteToChannel,0,24,0,0,0,7,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.io.tcp.proxy,ProxyClientHandler.CloseChannelsOnTimeout,6,23,0,0,0,9,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.tsdb2,TSDBQuery,703,295,93,39,102,61,64,17,11,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.tsdb2,TSDBReader.new Object() {...},3,23,0,0,0,1,0,1,0,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.tsdb2,TSDBReader.new Callable() {...},0,21,0,0,0,3,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.tsdb2,TSDBQuery.TableDefEx,0,51,0,0,0,13,0,7,0,7
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.tsdb2,TimeSeries,44,12,2,0,7,5,3,2,2,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.tsdb2,TSDBWriter,178,371,26,14,13,86,16,17,1,12
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.tsdb2,TSDBReader.EventSensitivity,5,43,0,0,0,2,1,3,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.tsdb2,TSDBReader,171,297,23,29,18,67,21,18,3,9
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.io,MeasuredInputStream,70,37,2,0,14,11,8,4,7,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.io,MeasuredOutputStream,48,35,0,0,7,12,3,4,3,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.io,OpenFilesSampler,80,58,10,2,21,18,16,4,10,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.io,OpenFilesSampler.new AbstractRunnable() {...},2,4,0,0,2,1,1,1,1,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.perf.io,OpenFilesSampler.AccumulatorRunnable,76,42,6,2,15,14,7,3,3,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,Spf4jJMXBeanMapping.ListMXBeanType,119,165,9,13,20,35,9,7,1,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,Spf4jJMXBeanMapping.EnumMXBeanType,22,22,0,0,4,6,0,4,0,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,MapEntryOpenTypeMapping,171,195,6,6,21,33,7,6,1,6
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,MXBeanMappings,36,14,4,0,7,2,4,2,2,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,Spf4jJMXBeanMapping.GenericArrayMXBeanType,104,0,6,0,23,0,5,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,Spf4jJMXBeanMapping.ArrayMXBeanType,91,129,6,10,18,29,6,7,2,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,DefaultMXBeanMappingFactoryOpenTypeMapper.new MXBeanMappingFactory() {...},35,0,0,0,6,0,2,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,SpecificRecordOpenTypeMapping,133,264,5,13,25,62,7,15,2,10
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,Spf4jJMXBeanMapping.MapMXBeanType,68,235,6,16,9,49,7,9,1,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,Spf4jJMXBeanMapping,2,86,1,1,1,18,1,6,0,6
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,DefaultMXBeanMappingFactoryOpenTypeMapper,72,0,0,0,13,0,6,0,6,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,MXBeanMappings.new MXBeanMapping() {...},5,13,0,0,1,2,1,2,1,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,MXBeanMappings.new JMXBeanMapping() {...},5,23,0,0,1,5,1,5,1,5
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,Spf4jOpenTypeMapper.new ThreadLocal() {...},0,8,0,0,0,2,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,Spf4jOpenTypeMapper,32,508,5,23,6,66,7,21,2,12
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,Spf4jJMXBeanMapping.new MXBeanMappingFactory() {...},24,17,1,1,5,5,1,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,SpecificRecordOpenTypeMapping.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,SpecificRecordOpenTypeMapping.new TypeParameter() {...},0,3,0,0,0,1,0,1,0,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,SpecificRecordOpenTypeMapping.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,SpecificRecordOpenTypeMapping.new Object() {...},3,23,0,0,0,1,0,1,0,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,SpecificRecordOpenTypeMapping.new TypeParameter() {...},3,0,0,0,1,0,1,0,1,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,SpecificRecordOpenTypeMapping.new TypeParameter() {...},3,0,0,0,1,0,1,0,1,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.jmx.mappers,Spf4jJMXBeanMapping.BasicMXBeanType,0,13,0,0,0,5,0,4,0,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.recyclable,RecyclerFactory.new LeaseSupplier() {...},12,0,0,0,2,0,2,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.recyclable,ObjectBorower.Action,9,29,0,0,0,1,2,2,2,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.recyclable,RecyclerFactory,8,0,0,0,2,0,2,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.recyclable,ObjectReturnException,16,0,0,0,8,0,4,0,4,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.recyclable,Template.new Callables.TimeoutCallable() {...},6,24,0,0,2,4,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.recyclable,ObjectCreationException,16,0,0,0,8,0,4,0,4,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.recyclable,Disposable,27,10,1,1,5,5,2,2,1,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.recyclable,ObjectBorrowException,16,0,0,0,8,0,4,0,4,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.recyclable,Template,83,39,1,1,19,12,4,2,3,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.recyclable,SupplierException,12,4,0,0,6,2,3,1,3,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.recyclable,ObjectDisposeException,12,4,0,0,6,2,3,1,3,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.RetryDecision,0,54,0,0,0,14,0,9,0,9
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,MutableHolder,41,47,6,4,12,14,8,6,3,6
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,ReferenceType,14,45,0,0,0,7,3,4,3,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Iterables,26,0,2,0,8,0,4,0,3,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,CheckedRunnable,16,0,0,0,8,0,4,0,4,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,ExecutionContext,6,13,0,0,1,2,1,2,1,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Reflections.new CacheLoader() {...},0,6,0,0,0,2,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Reflections.new CacheLoader() {...},8,3,0,0,1,1,1,1,1,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Reflections.new CacheLoader() {...},2,23,1,1,1,5,1,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Reflections.new PrivilegedAction() {...},0,12,0,0,0,3,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,CallablesNano.NanoTimeoutCallable,0,5,0,0,0,2,0,1,0,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,CharSequenceTranslator,26,70,3,9,6,20,4,6,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,MutableInteger,30,13,6,0,8,6,6,3,3,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,TLScratch,3,83,2,10,1,20,3,7,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,SerializablePair.PairProxy,0,9,0,0,0,2,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.TimeoutRetryPredicate,0,5,0,0,0,1,0,1,0,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables,83,235,11,29,18,61,16,19,5,10
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Strings.new ThreadLocal() {...},0,5,0,0,0,2,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Strings.new PrivilegedAction() {...},7,13,0,0,3,5,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Strings.new ThreadLocal() {...},0,6,0,0,0,2,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Strings.new ThreadLocal() {...},0,5,0,0,0,2,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,TimeSource,70,24,4,2,12,7,6,4,3,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Strings.new PrivilegedAction() {...},32,22,0,0,8,5,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,CharSequences.new Appendable() {...},22,76,2,6,4,13,2,6,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,EqualsPredicate,23,0,0,0,5,0,3,0,3,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,NameValue,11,0,0,0,3,0,2,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,IntMath.XorShift32ThreadSafe.ThreadLocalRandom,7,0,0,0,2,0,2,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,CloneFailedException,16,0,0,0,8,0,4,0,4,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.AdvancedRetryPredicate.new Callables.AdvancedRetryPredicate() {...},2,3,0,0,1,1,1,1,1,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Closeables,86,78,13,7,27,22,10,9,3,6
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,EscapeJsonStringAppendableWrapper,12,45,0,4,1,11,1,6,1,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,IntMath.XorShift32ThreadSafe,15,0,0,0,3,0,2,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Runtime.Version,5,122,0,0,0,3,1,4,1,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,CallablesNanoNonInterrupt,59,35,0,0,17,4,4,3,4,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,AbstractRunnable.new Runnable() {...},0,4,0,0,0,2,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,ExitException,0,17,0,0,0,4,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Arrays,886,252,135,35,170,51,84,20,12,7
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Method,47,135,2,10,12,30,6,13,4,9
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.RetryData,0,61,0,6,0,18,0,5,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,AlmostSafe,26,0,0,0,8,0,3,0,3,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,CallablesNano.TimeoutNanoRetryPredicate.new CallablesNano.TimeoutNanoRetryPredicate() {...},0,5,0,0,0,2,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Either.Right,13,10,0,0,1,4,1,3,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,CallablesNano,23,41,0,0,5,6,4,4,4,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Timing,27,63,0,2,3,15,3,6,3,5
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,BasicExecutionContext,37,64,4,2,4,20,4,7,1,7
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Iterables.new Consumer() {...},34,0,2,0,9,0,3,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.RetryPredicate,0,5,0,0,0,1,0,1,0,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Either.Left,13,10,0,0,1,4,1,3,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,AggregateTranslator,13,37,0,4,1,8,1,4,1,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.RetryDecision.Type,5,33,0,0,0,2,1,3,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,ComparablePair,27,7,2,0,4,2,3,1,2,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,IntAppender.SimplePrefixNumberAppender,16,0,0,0,4,0,3,0,3,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Reflections,439,513,46,54,87,123,41,41,11,21
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,SysExits,33,654,6,4,4,68,7,6,3,5
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Throwables.Lazy,7,0,0,0,2,0,2,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,TimeoutRunnable,25,0,0,0,11,0,5,0,5,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Runtime.new ProcessHandler() {...},76,0,4,0,15,0,5,0,3,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Runtime.new AbstractRunnable() {...},92,184,20,20,24,40,11,11,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,ExecutionContexts,12,52,1,1,3,14,3,8,2,8
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,InstrumentationHelper,3,7,0,0,1,3,1,2,1,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,AbstractRunnable,31,72,7,7,7,27,5,8,0,6
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Pair,31,200,10,20,12,37,13,16,3,11
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.AdvancedRetryPredicate,0,9,0,0,0,2,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Throwables.new Predicate() {...},0,27,0,10,0,8,0,7,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Throwables.new PrivilegedAction() {...},6,18,0,0,2,4,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Throwables.new Predicate() {...},0,37,2,10,0,7,2,7,0,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.TimeoutRetryPredicate.new Callables.TimeoutRetryPredicate() {...},0,5,0,0,0,2,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Reflections.MethodDesc,33,57,4,4,6,15,5,6,1,6
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Version,29,268,8,34,8,65,12,25,4,12
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Reflections.PackageInfo,30,49,5,7,6,13,6,7,2,5
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,SerializablePair,0,30,0,0,0,7,0,3,0,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,ArrayBuilder,37,71,4,4,7,20,5,7,2,6
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Objects,107,57,18,6,3,9,13,1,1,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.TimeoutRetryPredicate2RetryPredicate,0,17,0,0,0,5,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Either,43,35,12,2,7,7,8,6,2,5
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Throwables,218,963,31,107,67,239,34,79,10,34
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,IntMath.XorShift32,5,36,1,1,1,7,1,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,SuppressedThrowable,6,0,0,0,3,0,2,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Runtime.Lazy,7,0,0,0,2,0,2,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,CharSequences.SubSequence,67,28,5,1,10,7,6,2,3,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,CallablesNano.TimeoutNanoRetryPredicate,0,5,0,0,0,1,0,1,0,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.RetryPredicate.new Callables.RetryPredicate() {...},0,5,0,0,0,2,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Runtime,294,423,39,19,59,98,39,20,12,18
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Strings,332,930,42,52,91,153,44,47,12,27
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Reflections.2.new PrivilegedAction() {...},0,15,0,0,0,3,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,JavaUtils,5,32,1,9,2,10,2,5,1,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,MemorizedCallable,12,47,0,4,1,14,1,5,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,IntMath,18,9,3,1,2,1,4,1,2,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.FibonacciBackoffRetryPredicate,53,173,4,12,4,35,4,9,0,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Holder,36,0,0,0,10,0,6,0,6,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,CharSequences,711,330,111,35,152,70,72,29,14,13
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.SimpleAction,38,0,0,0,2,0,4,0,4,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Runnables,37,0,4,0,10,0,4,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Comparables,56,140,15,29,9,38,13,15,1,5
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,LookupTranslator,85,110,11,13,17,26,9,8,3,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.TimeoutCallable,0,23,0,0,0,8,0,4,0,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.AdvancedAction,5,53,0,0,0,5,1,3,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,IntMath.XorShift128,0,54,0,0,0,9,0,2,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,UnicodeUnescaper,92,25,11,5,15,4,6,4,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Base64,605,472,42,33,91,76,35,24,9,11
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,IntMath.XorShift32ThreadSafe.Singleton,8,0,0,0,2,0,2,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.new Callables.SimpleRetryPredicate() {...},6,3,2,0,1,1,2,1,1,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.new Predicate() {...},9,3,2,0,1,1,2,1,1,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.new Callables.AdvancedRetryPredicate() {...},0,14,0,2,0,5,0,3,0,2
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.new Callable() {...},47,0,0,0,8,0,3,0,3,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Throwables.PackageDetail,0,48,0,0,0,4,0,4,0,4
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.new Callable() {...},10,0,0,0,2,0,2,0,2,0
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Callables.new Object() {...},4,29,0,0,0,1,0,1,0,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,Runtime.Jmx,5,3,0,0,3,1,2,1,2,1
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,OctalUnescaper,81,35,17,7,12,5,11,5,1,3
spf4j-jacoco-aggregate/spf4j-core,org.spf4j.base,NoExitSecurityManager,0,13,0,0,0,5,0,4,0,4
